"","Var1","Freq","rel"
"228","passende",33,0.086
"229","sterke",33,0.086
"230","voorradig",33,0.086
"231","bovenstaand",32,0.083
"232","dubbel",32,0.083
"233","gezonde",32,0.083
"234","koninklijk",32,0.083
"235","pet",32,0.083
"236","vlugge",32,0.083
"237","vroegere",32,0.083
"238","waard",32,0.083
"239","duidelijke",31,0.081
"240","elegante",31,0.081
"241","kleinere",31,0.081
"242","lagere",31,0.081
"243","onschadelijk",31,0.081
"244","publieke",31,0.081
"245","speciale",31,0.081
"246","voortdurend",31,0.081
"247","zaterdags",31,0.081
"248","aanverwante",30,0.078
"249","gekleurde",30,0.078
"250","koperen",30,0.078
"251","onmiddellijke",30,0.078
"252","dor",29,0.076
"253","hoogste",29,0.076
"254","luxe",29,0.076
"255","vreemde",29,0.076
"256","anders",28,0.073
"257","ar",28,0.073
"258","complete",28,0.073
"259","geschikte",28,0.073
"260","precies",28,0.073
"261","uitgebreide",28,0.073
"262","uitmuntend",28,0.073
"263","centraal",27,0.07
"264","grondige",27,0.07
"265","kort",27,0.07
"266","langer",27,0.07
"267","mooiste",27,0.07
"268","zeker",27,0.07
"269","zeldzaam",27,0.07
"270","afzonderlijke",26,0.068
"271","breed",26,0.068
"272","courante",26,0.068
"273","genaamd",26,0.068
"274","groene",26,0.068
"275","hartelijke",26,0.068
"276","huishoudelijke",26,0.068
"277","natte",26,0.068
"278","puik",26,0.068
"279","stalen",26,0.068
"280","afkomstig",25,0.065
"281","drukste",25,0.065
"282","helder",25,0.065
"283","katholieke",25,0.065
"284","keurige",25,0.065
"285","knappe",25,0.065
"286","muller",25,0.065
"287","onmisbaar",25,0.065
"288","stuk",25,0.065
"289","uiterlijk",25,0.065
"290","vatbaar",25,0.065
"291","voorname",25,0.065
"292","alléén",24,0.063
"293","belangrijk",24,0.063
"294","beroemdste",24,0.063
"295","blauw",24,0.063
"296","bont",24,0.063
"297","bruine",24,0.063
"298","daags",24,0.063
"299","deftige",24,0.063
"300","finaal",24,0.063
"301","geliefden",24,0.063
"302","genoemd",24,0.063
"303","lichte",24,0.063
"304","onderlinge",24,0.063
"305","stille",24,0.063
"306","tijdelijke",24,0.063
"307","zacht",24,0.063
"308","aankomende",23,0.06
"309","dringend",23,0.06
"310","gemaakte",23,0.06
"311","nationale",23,0.06
"312","ongehuwde",23,0.06
"313","oranje",23,0.06
"314","zeldzame",23,0.06
"315","zoete",23,0.06
"316","aanzienlijke",22,0.057
"317","bekwamen",22,0.057
"318","dik",22,0.057
"319","hoogst",22,0.057
"320","huiselijke",22,0.057
"321","netto",22,0.057
"322","tijdelijk",22,0.057
"323","aanwezig",21,0.055
"324","gemeubileerd",21,0.055
"325","jarigen",21,0.055
"326","jonger",21,0.055
"327","losse",21,0.055
"328","machtig",21,0.055
"329","marmeren",21,0.055
"330","mogelijke",21,0.055
"331","onvoorziene",21,0.055
"332","russische",21,0.055
"333","waar",21,0.055
"334","baar",20,0.052
"335","bejaarde",20,0.052
"336","generaal",20,0.052
"337","indisch",20,0.052
"338","nuttige",20,0.052
"339","provinciale",20,0.052
"340","vierkante",20,0.052
"341","woensdags",20,0.052
"342","belangrijke",19,0.05
"343","beurs",19,0.05
"344","chemische",19,0.05
"345","eerlijk",19,0.05
"346","geïllustreerde",19,0.05
"347","gemakkelijke",19,0.05
"348","gerookte",19,0.05
"349","jeugdige",19,0.05
"350","laag",19,0.05
"351","talrijke",19,0.05
"352","zelfde",19,0.05
"353","aankomend",18,0.047
"354","bouwkundige",18,0.047
"355","geneeskundige",18,0.047
"356","houten",18,0.047
"357","koude",18,0.047
"358","krachtige",18,0.047
"359","luchtige",18,0.047
"360","onbemiddeld",18,0.047
"361","onderling",18,0.047
"362","onderstaande",18,0.047
"363","opgemaakte",18,0.047
"364","riant",18,0.047
"365","spoedige",18,0.047
"366","totaal",18,0.047
"367","wekelijks",18,0.047
"368","zijden",18,0.047
"369","attent",17,0.044
"370","eerlijke",17,0.044
"371","geldig",17,0.044
"372","gerenommeerde",17,0.044
"373","goedkoopste",17,0.044
"374","goor",17,0.044
"375","militaire",17,0.044
"376","navolgende",17,0.044
"377","oorspronkelijke",17,0.044
"378","rijke",17,0.044
"379","uitvoerige",17,0.044
"380","aanvankelijk",16,0.042
"381","arm",16,0.042
"382","bejaard",16,0.042
"383","beproefde",16,0.042
"384","christelijk",16,0.042
"385","dichter",16,0.042
"386","finale",16,0.042
"387","heel",16,0.042
"388","heilige",16,0.042
"389","internationale",16,0.042
"390","jarige",16,0.042
"391","keizerlijk",16,0.042
"392","linden",16,0.042
"393","mondelinge",16,0.042
"394","persoonlijke",16,0.042
"395","schoon",16,0.042
"396","stads",16,0.042
"397","stellig",16,0.042
"398","technisch",16,0.042
"399","woonachtig",16,0.042
"400","zoet",16,0.042
"401","armen",15,0.039
"402","blanke",15,0.039
"403","chemisch",15,0.039
"404","doelmatig",15,0.039
"405","even",15,0.039
"406","gemengde",15,0.039
"407","gezamenlijke",15,0.039
"408","jarig",15,0.039
"409","kapitale",15,0.039
"410","matige",15,0.039
"411","middelbare",15,0.039
"412","natuurlijke",15,0.039
"413","nauwkeurige",15,0.039
"414","onbesproken",15,0.039
"415","saksische",15,0.039
"416","teer",15,0.039
"417","vet",15,0.039
"418","vette",15,0.039
"419","zedelijk",15,0.039
"420","zeerste",15,0.039
"421","ziekelijke",15,0.039
"422","bepaalde",14,0.036
"423","betere",14,0.036
"424","billijkste",14,0.036
"425","duurzaam",14,0.036
"426","edele",14,0.036
"427","enkel",14,0.036
"428","fraaiste",14,0.036
"429","gedrukte",14,0.036
"430","gereformeerde",14,0.036
"431","gering",14,0.036
"432","goedkoopst",14,0.036
"433","grove",14,0.036
"434","hartelijk",14,0.036
"435","humoristische",14,0.036
"436","juist",14,0.036
"437","liggende",14,0.036
"438","mak",14,0.036
"439","overige",14,0.036
"440","scheikundig",14,0.036
"441","werkend",14,0.036
"442","zoute",14,0.036
"443","bekenden",13,0.034
"444","bereide",13,0.034
"445","dankbaar",13,0.034
"446","duidelijk",13,0.034
"447","effen",13,0.034
"448","gebrande",13,0.034
"449","gedempte",13,0.034
"450","gelijk",13,0.034
"451","geurige",13,0.034
"452","hard",13,0.034
"453","lief",13,0.034
"454","maatschappelijk",13,0.034
"455","prompte",13,0.034
"456","ras",13,0.034
"457","smakelijk",13,0.034
"458","uniform",13,0.034
"459","welbekende",13,0.034
"460","aanwezige",12,0.031
"461","aardige",12,0.031
"462","accuraat",12,0.031
"463","actief",12,0.031
"464","bereid",12,0.031
"465","beter",12,0.031
"466","bruin",12,0.031
"467","diepe",12,0.031
"468","generale",12,0.031
"469","geringe",12,0.031
"470","gestoffeerde",12,0.031
"471","gezellig",12,0.031
"472","interne",12,0.031
"473","krachtig",12,0.031
"474","lam",12,0.031
"475","lieve",12,0.031
"476","mans",12,0.031
"477","minzame",12,0.031
"478","onvoldoende",12,0.031
"479","oorspronkelijk",12,0.031
"480","particuliere",12,0.031
"481","schoolgaande",12,0.031
"482","schoonste",12,0.031
"483","tandheelkundige",12,0.031
"484","theoretisch",12,0.031
"485","voornoemde",12,0.031
"486","voortreffelijk",12,0.031
"487","vrouwelijke",12,0.031
"488","zomers",12,0.031
"489","belangrijkste",11,0.029
"490","dikke",11,0.029
"491","dusdanige",11,0.029
"492","externe",11,0.029
"493","gave",11,0.029
"494","gebrekkige",11,0.029
"495","gele",11,0.029
"496","genoemden",11,0.029
"497","gevraagde",11,0.029
"498","glazen",11,0.029
"499","heerlijke",11,0.029
"500","jaarlijks",11,0.029
"501","kachel",11,0.029
"502","kluchtige",11,0.029
"503","laat",11,0.029
"504","middelbaar",11,0.029
"505","plaatsvervangend",11,0.029
"506","toevallige",11,0.029
"507","vacant",11,0.029
"508","vloeibare",11,0.029
"509","volks",11,0.029
"510","voormalige",11,0.029
"511","voorst",11,0.029
"512","warme",11,0.029
"513","wereldberoemde",11,0.029
"514","zekere",11,0.029
"515","aangename",10,0.026
"516","administratieve",10,0.026
"517","alleen",10,0.026
"518","bar",10,0.026
"519","behoorlijk",10,0.026
"520","beleefd",10,0.026
"521","biezen",10,0.026
"522","bitter",10,0.026
"523","dennen",10,0.026
"524","dicht",10,0.026
"525","edel",10,0.026
"526","gediplomeerd",10,0.026
"527","geëigend",10,0.026
"528","gefortuneerd",10,0.026
"529","gewilde",10,0.026
"530","gezondste",10,0.026
"531","grijs",10,0.026
"532","grijze",10,0.026
"533","kalm",10,0.026
"534","kerkelijke",10,0.026
"535","kleinen",10,0.026
"536","laagste",10,0.026
"537","langdurig",10,0.026
"538","liefderijke",10,0.026
"539","linker",10,0.026
"540","luimige",10,0.026
"541","metalen",10,0.026
"542","natuurlijk",10,0.026
"543","nieuwst",10,0.026
"544","ongekend",10,0.026
"545","sec",10,0.026
"546","smartelijk",10,0.026
"547","vergevorderd",10,0.026
"548","vermoedelijk",10,0.026
"549","vliegend",10,0.026
"550","voorkomende",10,0.026
"551","voortreffelijke",10,0.026
"552","vriendelijk",10,0.026
"553","welwillend",10,0.026
"554","westelijk",10,0.026
"555","wijde",10,0.026
"556","wild",10,0.026
"557","wilde",10,0.026
"558","bare",9,0.023
"559","burgerlijk",9,0.023
"560","coöperatieve",9,0.023
"561","diamanten",9,0.023
"562","diep",9,0.023
"563","donker",9,0.023
"564","gaande",9,0.023
"565","geel",9,0.023
"566","geruimen",9,0.023
"567","grof",9,0.023
"568","holle",9,0.023
"569","ijl",9,0.023
"570","innig",9,0.023
"571","klare",9,0.023
"572","knap",9,0.023
"573","komiek",9,0.023
"574","lui",9,0.023
"575","medicinale",9,0.023
"576","militair",9,0.023
"577","mul",9,0.023
"578","nat",9,0.023
"579","noordelijke",9,0.023
"580","nuttig",9,0.023
"581","oplosbaar",9,0.023
"582","ouderloos",9,0.023
"583","radicale",9,0.023
"584","reizend",9,0.023
"585","ronde",9,0.023
"586","stipte",9,0.023
"587","streng",9,0.023
"588","telegrafisch",9,0.023
"589","topografisch",9,0.023
"590","vacante",9,0.023
"591","vacuüm",9,0.023
"592","velerlei",9,0.023
"593","verzekerd",9,0.023
"594","voornaam",9,0.023
"595","waardig",9,0.023
"596","winstgevende",9,0.023
"597","aflosbaar",8,0.021
"598","allerhande",8,0.021
"599","beklant",8,0.021
"600","belgische",8,0.021
"601","bleue",8,0.021
"602","bloedige",8,0.021
"603","breder",8,0.021
"604","dergelijk",8,0.021
"605","deugdelijke",8,0.021
"606","drukker",8,0.021
"607","duur",8,0.021
"608","eerstvolgende",8,0.021
"609","eikenhouten",8,0.021
"610","enorm",8,0.021
"611","erg",8,0.021
"612","ernstig",8,0.021
"613","geboren",8,0.021
"614","gegoeden",8,0.021
"615","geneeskundig",8,0.021
"616","genegen",8,0.021
"617","genoegzame",8,0.021
"618","gerichte",8,0.021
"619","gestikte",8,0.021
"620","gewezen",8,0.021
"621","heelkundige",8,0.021
"622","hees",8,0.021
"623","heet",8,0.021
"624","heldere",8,0.021
"625","hypothecaire",8,0.021
"626","ijlst",8,0.021
"627","inwendige",8,0.021
"628","jonggehuwden",8,0.021
"629","komische",8,0.021
"630","krap",8,0.021
"631","machinaal",8,0.021
"632","mahoniehouten",8,0.021
"633","makkelijk",8,0.021
"634","matig",8,0.021
"635","onbekende",8,0.021
"636","onroerende",8,0.021
"637","oudste",8,0.021
"638","plat",8,0.021
"639","rotter",8,0.021
"640","slechte",8,0.021
"641","snel",8,0.021
"642","tegenwoordig",8,0.021
"643","uitwendige",8,0.021
"644","vergulde",8,0.021
"645","versterkende",8,0.021
"646","voorradige",8,0.021
"647","welvarend",8,0.021
"648","afgepaste",7,0.018
"649","antiek",7,0.018
"650","aparte",7,0.018
"651","beknopte",7,0.018
"652","belegen",7,0.018
"653","brave",7,0.018
"654","burgerlijke",7,0.018
"655","divers",7,0.018
"656","dun",7,0.018
"657","elegant",7,0.018
"658","eventueel",7,0.018
"659","fit",7,0.018
"660","geconserveerde",7,0.018
"661","gedane",7,0.018
"662","geduldig",7,0.018
"663","gehuwd",7,0.018
"664","gepensioneerd",7,0.018
"665","gewillige",7,0.018
"666","gezamenlijk",7,0.018
"667","hechte",7,0.018
"668","jolig",7,0.018
"669","komieke",7,0.018
"670","kostbare",7,0.018
"671","landelijke",7,0.018
"672","late",7,0.018
"673","lekker",7,0.018
"674","lichamelijke",7,0.018
"675","linke",7,0.018
"676","maandelijks",7,0.018
"677","machinale",7,0.018
"678","merkwaardig",7,0.018
"679","mijnbouwkundige",7,0.018
"680","mild",7,0.018
"681","onovertroffen",7,0.018
"682","onverbeterlijk",7,0.018
"683","oordeelkundige",7,0.018
"684","papieren",7,0.018
"685","privaat",7,0.018
"686","rechts",7,0.018
"687","spoedigst",7,0.018
"688","sprekende",7,0.018
"689","superieur",7,0.018
"690","tijdig",7,0.018
"691","typische",7,0.018
"692","verouderde",7,0.018
"693","versterkend",7,0.018
"694","verzachtende",7,0.018
"695","vierkant",7,0.018
"696","voedzaam",7,0.018
"697","voorkomend",7,0.018
"698","voortdurende",7,0.018
"699","vriendelijke",7,0.018
"700","watten",7,0.018
"701","welvarende",7,0.018
"702","winters",7,0.018
"703","zout",7,0.018
"704","zuidelijke",7,0.018
"705","zuur",7,0.018
"706","aangrenzend",6,0.016
"707","aanmerkelijk",6,0.016
"708","aannemelijke",6,0.016
"709","aardig",6,0.016
"710","administratief",6,0.016
"711","antieke",6,0.016
"712","bevoegd",6,0.016
"713","blank",6,0.016
"714","blikken",6,0.016
"715","boeiend",6,0.016
"716","bonte",6,0.016
"717","circulaire",6,0.016
"718","donders",6,0.016
"719","edelste",6,0.016
"720","florissante",6,0.016
"721","gebouwde",6,0.016
"722","gebruikelijke",6,0.016
"723","geplaatste",6,0.016
"724","gerenommeerd",6,0.016
"725","historische",6,0.016
"726","ijverig",6,0.016
"727","inbegrepen",6,0.016
"728","instrumentaal",6,0.016
"729","jongen",6,0.016
"730","katoenen",6,0.016
"731","kortst",6,0.016
"732","langwerpig",6,0.016
"733","ledige",6,0.016
"734","letterkundig",6,0.016
"735","levend",6,0.016
"736","links",6,0.016
"737","meerder",6,0.016
"738","mindere",6,0.016
"739","mondeling",6,0.016
"740","nauwkeurig",6,0.016
"741","nieuwer",6,0.016
"742","noordelijk",6,0.016
"743","onbeantwoord",6,0.016
"744","onbekend",6,0.016
"745","onopgemaakte",6,0.016
"746","onuitputtelijke",6,0.016
"747","oostelijk",6,0.016
"748","politiek",6,0.016
"749","populaire",6,0.016
"750","praktische",6,0.016
"751","rechte",6,0.016
"752","rot",6,0.016
"753","royaal",6,0.016
"754","roze",6,0.016
"755","smalle",6,0.016
"756","tam",6,0.016
"757","theoretische",6,0.016
"758","tweedehands",6,0.016
"759","uitvoerig",6,0.016
"760","verre",6,0.016
"761","verscheiden",6,0.016
"762","vrijwillige",6,0.016
"763","vroom",6,0.016
"764","welwillende",6,0.016
"765","werkelijke",6,0.016
"766","wetenschappelijke",6,0.016
"767","aanbevelenswaardig",5,0.013
"768","aannemelijk",5,0.013
"769","aantrekkelijk",5,0.013
"770","actieve",5,0.013
"771","afwezig",5,0.013
"772","alleenwonend",5,0.013
"773","arme",5,0.013
"774","avontuurlijk",5,0.013
"775","bederfelijke",5,0.013
"776","behoorlijke",5,0.013
"777","beige",5,0.013
"778","bestaand",5,0.013
"779","betrouwbare",5,0.013
"780","bezig",5,0.013
"781","blinde",5,0.013
"782","boos",5,0.013
"783","bovenst",5,0.013
"784","bovenvermeld",5,0.013
"785","bovenvermelde",5,0.013
"786","centrale",5,0.013
"787","civiel",5,0.013
"788","debet",5,0.013
"789","deskundig",5,0.013
"790","deugdelijk",5,0.013
"791","dienstig",5,0.013
"792","drievoudige",5,0.013
"793","drijvende",5,0.013
"794","dringende",5,0.013
"795","één",5,0.013
"796","enorme",5,0.013
"797","ernstige",5,0.013
"798","exquise",5,0.013
"799","gegoede",5,0.013
"800","geheime",5,0.013
"801","gelukkig",5,0.013
"802","gemaakt",5,0.013
"803","geoliede",5,0.013
"804","geriefelijk",5,0.013
"805","gestelde",5,0.013
"806","gevaarlijke",5,0.013
"807","gezocht",5,0.013
"808","godsdienstige",5,0.013
"809","goeie",5,0.013
"810","grauwe",5,0.013
"811","groots",5,0.013
"812","gunstigste",5,0.013
"813","helst",5,0.013
"814","historisch",5,0.013
"815","huishoudelijk",5,0.013
"816","invloedrijke",5,0.013
"817","inwonend",5,0.013
"818","juiste",5,0.013
"819","kerkelijk",5,0.013
"820","klaar",5,0.013
"821","kleiner",5,0.013
"822","klem",5,0.013
"823","krachtigste",5,0.013
"824","kristallen",5,0.013
"825","kromme",5,0.013
"826","kwaadaardig",5,0.013
"827","lede",5,0.013
"828","lek",5,0.013
"829","liberaal",5,0.013
"830","makkelijke",5,0.013
"831","mat",5,0.013
"832","milde",5,0.013
"833","minerale",5,0.013
"834","minst",5,0.013
"835","minzaamst",5,0.013
"836","nederlands",5,0.013
"837","noodzakelijk",5,0.013
"838","onderstaand",5,0.013
"839","onroerend",5,0.013
"840","oprechte",5,0.013
"841","overheerlijk",5,0.013
"842","overheerlijke",5,0.013
"843","overvloedig",5,0.013
"844","parochiaal",5,0.013
"845","particulier",5,0.013
"846","patent",5,0.013
"847","planken",5,0.013
"848","populair",5,0.013
"849","provisioneel",5,0.013
"850","regelmatig",5,0.013
"851","rijpe",5,0.013
"852","scheikundigen",5,0.013
"853","serieus",5,0.013
"854","sierlijke",5,0.013
"855","stedelijk",5,0.013
"856","traag",5,0.013
"857","tropische",5,0.013
"858","verhoogd",5,0.013
"859","verplichtend",5,0.013
"860","vloeibaar",5,0.013
"861","vocaal",5,0.013
"862","volstrekt",5,0.013
"863","voorgaand",5,0.013
"864","waaks",5,0.013
"865","waterdicht",5,0.013
"866","wee",5,0.013
"867","wereldberoemd",5,0.013
"868","wettig",5,0.013
"869","wijs",5,0.013
"870","zuinige",5,0.013
"871","aangedane",4,0.01
"872","aangelegden",4,0.01
"873","aangenaamste",4,0.01
"874","aangenomen",4,0.01
"875","aanhoudende",4,0.01
"876","aantrekkelijker",4,0.01
"877","aanvaardbaar",4,0.01
"878","aanzienlijk",4,0.01
"879","absolute",4,0.01
"880","afdoend",4,0.01
"881","allerbest",4,0.01
"882","allerbeste",4,0.01
"883","antiseptisch",4,0.01
"884","behoeftige",4,0.01
"885","bijbels",4,0.01
"886","blij",4,0.01
"887","boeiende",4,0.01
"888","boers",4,0.01
"889","bouwkundig",4,0.01
"890","braaf",4,0.01
"891","brakke",4,0.01
"892","concurrerende",4,0.01
"893","contante",4,0.01
"894","definitieve",4,0.01
"895","dichte",4,0.01
"896","dol",4,0.01
"897","donkerbruine",4,0.01
"898","drukst",4,0.01
"899","edelachtbare",4,0.01
"900","eerstgenoemde",4,0.01
"901","eervol",4,0.01
"902","egyptische",4,0.01
"903","eigengemaakte",4,0.01
"904","eigenhandige",4,0.01
"905","gedreven",4,0.01
"906","geheim",4,0.01
"907","gehouden",4,0.01
"908","gelijke",4,0.01
"909","gelukkige",4,0.01
"910","gemeen",4,0.01
"911","gerechtelijke",4,0.01
"912","gipsen",4,0.01
"913","heerlijk",4,0.01
"914","heiligen",4,0.01
"915","heilzaam",4,0.01
"916","heus",4,0.01
"917","hol",4,0.01
"918","hollands",4,0.01
"919","hulpbehoevend",4,0.01
"920","iel",4,0.01
"921","ijverige",4,0.01
"922","kil",4,0.01
"923","kleinste",4,0.01
"924","kortste",4,0.01
"925","kostelijke",4,0.01
"926","kroes",4,0.01
"927","kunstminnend",4,0.01
"928","lakens",4,0.01
"929","lekkere",4,0.01
"930","liberale",4,0.01
"931","liefdadige",4,0.01
"932","loos",4,0.01
"933","maatschappelijke",4,0.01
"934","magnifieke",4,0.01
"935","meetkundige",4,0.01
"936","middelmatige",4,0.01
"937","mineraal",4,0.01
"938","nationaal",4,0.01
"939","nevenstaand",4,0.01
"940","nominaal",4,0.01
"941","normaal",4,0.01
"942","onbetwistbaar",4,0.01
"943","onfeilbaar",4,0.01
"944","ongelukkige",4,0.01
"945","onpartijdig",4,0.01
"946","onvermijdelijke",4,0.01
"947","onversneden",4,0.01
"948","onverwachte",4,0.01
"949","openlijk",4,0.01
"950","opmerkzaam",4,0.01
"951","ordinaire",4,0.01
"952","overdekte",4,0.01
"953","parochiale",4,0.01
"954","pijnlijke",4,0.01
"955","porseleinen",4,0.01
"956","raar",4,0.01
"957","rein",4,0.01
"958","rijkste",4,0.01
"959","roerende",4,0.01
"960","rotte",4,0.01
"961","slecht",4,0.01
"962","snellere",4,0.01
"963","sociale",4,0.01
"964","splinternieuwe",4,0.01
"965","star",4,0.01
"966","stedelijke",4,0.01
"967","sterkste",4,0.01
"968","stevig",4,0.01
"969","strengste",4,0.01
"970","suède",4,0.01
"971","taai",4,0.01
"972","tenger",4,0.01
"973","terecht",4,0.01
"974","tonisch",4,0.01
"975","vermakelijk",4,0.01
"976","vers",4,0.01
"977","volslagen",4,0.01
"978","vorig",4,0.01
"979","vreemd",4,0.01
"980","vruchtbaar",4,0.01
"981","waarschijnlijk",4,0.01
"982","warm",4,0.01
"983","welbespraakt",4,0.01
"984","werkzame",4,0.01
"985","wonder",4,0.01
"986","zeewaardige",4,0.01
"987","zenuwachtig",4,0.01
"988","ziek",4,0.01
"989","zieke",4,0.01
"990","zinken",4,0.01
"991","zonde",4,0.01
"992","aangelegde",3,0.008
"993","aangrenzende",3,0.008
"994","accurate",3,0.008
"995","achtereenvolgende",3,0.008
"996","aloude",3,0.008
"997","bekend",3,0.008
"998","belangwekkende",3,0.008
"999","beperkte",3,0.008
"1000","besmettelijke",3,0.008
"1001","betaalde",3,0.008
"1002","betrekkelijk",3,0.008
